hourmin,date_avg,depth_avg,temp_avg,sal_avg
10:0,2021-01-15T10:00:25Z,0.263,29.130000000000003,34.32473379166667
10:1,2021-01-15T10:01:25Z,0.2845,29.113333333333333,34.32714420333333
10:10,2021-01-15T10:10:25Z,0.26366666666666666,29.213333333333335,34.08667679
10:11,2021-01-15T10:11:25Z,0.2713333333333333,29.196666666666665,34.148533183333335
10:12,2021-01-15T10:12:25Z,0.267,29.196666666666665,34.09020599666667
10:13,2021-01-15T10:13:25Z,0.26983333333333337,29.14666666666667,34.05866182
10:14,2021-01-15T10:14:25Z,0.261,29.086666666666666,34.004000250000004
10:15,2021-01-15T10:15:25Z,0.2733333333333333,28.808333333333334,34.001272003333334
10:16,2021-01-15T10:16:25Z,0.26133333333333336,28.733333333333334,34.00017504666667
10:17,2021-01-15T10:17:25Z,0.2813333333333333,28.740000000000002,33.978373403333336
10:18,2021-01-15T10:18:25Z,0.27183333333333337,28.805,33.97980046833334
10:19,2021-01-15T10:19:25Z,0.271,28.746666666666666,33.590929
10:2,2021-01-15T10:02:25Z,0.2575,29.123333333333335,34.27130458833334
10:20,2021-01-15T10:20:25Z,0.2768333333333333,28.82333333333333,33.859406836666665
10:21,2021-01-15T10:21:25Z,0.2605,28.816666666666666,33.862649475
10:22,2021-01-15T10:22:25Z,0.254,28.8,33.76857015833333
10:23,2021-01-15T10:23:25Z,0.2665,28.884999999999998,33.75194912333333
10:24,2021-01-15T10:24:25Z,0.24766666666666667,29.03333333333333,33.75069075166667
10:25,2021-01-15T10:25:25Z,0.2695,29.061666666666667,33.744147025000004
10:26,2021-01-15T10:26:25Z,0.27749999999999997,29.11,33.84417198166666
10:27,2021-01-15T10:27:25Z,0.253,29.226666666666667,33.92407065
10:28,2021-01-15T10:28:25Z,0.25966666666666666,29.183333333333334,33.933402705
10:29,2021-01-15T10:29:25Z,0.2925,29.166666666666668,33.907096435
10:3,2021-01-15T10:03:25Z,0.24883333333333332,29.156666666666666,34.201042601666664
10:30,2021-01-15T10:30:25Z,0.279,29.189999999999998,33.84606854
10:31,2021-01-15T10:31:25Z,0.25116666666666665,29.348333333333333,33.720548838333336
10:32,2021-01-15T10:32:25Z,0.26266666666666666,29.295,33.541841858333335
10:33,2021-01-15T10:33:25Z,0.27266666666666667,29.188333333333333,33.10596493
10:34,2021-01-15T10:34:25Z,0.25983333333333336,29.205,32.723241746666666
10:35,2021-01-15T10:35:25Z,0.25566666666666665,29.293333333333333,33.26492487
10:36,2021-01-15T10:36:25Z,0.275,29.283333333333335,33.38640071166667
10:37,2021-01-15T10:37:25Z,0.26016666666666666,29.293333333333333,32.89664886833333
10:38,2021-01-15T10:38:25Z,0.24633333333333335,29.291666666666664,32.867044945
10:39,2021-01-15T10:39:25Z,0.269,29.311666666666667,33.607756906666665
10:4,2021-01-15T10:04:25Z,0.2851666666666667,29.148333333333333,34.199739148333336
